Code,p233,p254,p271,p272,p306,p313,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,pte1,pte2,pte3,pte4,pte5,pte6,pte7,pte8,pte9,pte10,pte11,pte12,pte13,pte14,pte15,pte16,pte17,pte18,pte19,pte20,pte21,pte22,pte23,pte24
D1,1,1,0,0,0,0,2015448.276,1807491.329,2092941.896,1756313.965,1467720.559,1839158.333,1203191.919,1209493.333,1446289.602,,,,,,,,,,,,,,,,,,,,,,,,0
D2,0,1,1,0,0,0,1223306.667,1072569.579,1271750,1204724.062,1039195.767,1387981.087,1047619.048,1007031.111,1138226.712,,,,,,,,,,,,,,,,,,,,,,,,0
D3,0,1,0,1,0,0,5825882.353,4457208.459,4650267.913,5135525.926,4340565.657,4406707.566,4499676.13,3850095.238,3766798.122,,,,,,,,,,,,,,,,,,,,,,,,0
D4,0,1,0,0,1,0,324034.384,343819.209,348844.4444,354318.5185,402115.942,417810.3286,312707.635,402515.1515,372525.9259,,,,,,,,,,,,,,,,,,,,,,,,0
D5,1,1,1,0,0,0,998723.127,698478.5276,669873.1118,744422.8695,517212.8514,558726.4957,606848.6772,483152.9889,513065.0407,,,,,,,,,,,,,,,,,,,,,,,,0
D6,1,1,0,1,0,0,1916795.031,1694211.18,1309809.524,1578201.454,1393897.751,1233449.275,1393897.597,1320017.094,1165771.144,,,,,,,,,,,,,,,,,,,,,,,,0
D7,1,1,0,0,1,0,28725.27473,34382.02247,40533.33333,38549.01961,48913.44383,35453.294,35196.9697,41992.50936,34087.27948,,,,,,,,,,,,,,,,,,,,,,,,0
D8,0,1,1,1,0,0,1613608.247,1122822.006,1090342.105,1216122.931,977199.5685,1205696.97,950396.3964,939027.5028,1060801.661,,,,,,,,,,,,,,,,,,,,,,,,0
D9,0,1,1,0,1,0,373706.6667,289346.0317,450498.4227,299309.1309,226538.1526,303050.7012,303723.5229,259117.9487,216316.6667,,,,,,,,,,,,,,,,,,,,,,,,0
D10,0,1,0,1,1,0,374146.0317,218242.0382,499544.6154,365074.1902,338393.5743,460310.2725,373110.3966,362326.2411,343059.3047,,,,,,,,,,,,,,,,,,,,,,,,0
D11,1,1,1,1,0,0,411546.9256,451549.8392,688514.4695,416163.9698,369229.4912,408523.0439,356067.5105,395004.1152,310575.5694,,,,,,,,,,,,,,,,,,,,,,,,0
D12,1,1,1,0,1,0,149898.7342,133652.9968,197203.8835,159959.3496,124846.3074,124649.5726,131222.2222,126459.9797,101671.7019,,,,,,,,,,,,,,,,,,,,,,,,0
D13,1,1,0,1,1,0,25200.28818,24209.25373,28807.50751,20075.52239,16231.80516,20799.08537,14777.77778,18371.23421,19502.48756,,,,,,,,,,,,,,,,,,,,,,,,0
D14,0,1,1,1,1,0,258822.1865,264690.3323,339649.8413,333802.0202,304970.3916,423957.672,240940,269511.8182,273150.6211,,,,,,,,,,,,,,,,,,,,,,,,0
D15,1,1,1,1,1,0,143929.6188,137029.9401,262585.3659,165309.2369,117612.0527,149168.7243,127847.8478,126299.5169,109696.6184,,,,,,,,,,,,,,,,,,,,,,,,0
D16,0,1,0,0,0,0,5348186.38,4402233.216,8780327.869,4475247.982,3017346.448,4237697.354,4161510.155,4040546.296,3550819.533,,,,,,,,,,,,,,,,,,,,,,,,0
E1,1,0,0,0,0,1,93555.55556,74296.91877,89611.11111,98405.88235,50672.08672,66245.71429,90881.08108,66430.5949,63757.06215,,,,,,,,,,,,,,,,,,,,,,,,0
E2,0,0,1,0,0,1,535478.2609,459335.4633,548345.515,551545.1264,382559.2105,451098.3051,437884.3537,417612.0401,448480.8362,,,,,,,,,,,,,,,,,,,,,,,,0
E3,0,0,0,1,0,1,1765940.984,1802871.429,1346903.427,1442433.213,1390310.954,1082509.677,1193285.266,1494258.065,917107.7844,,,,,,,,,,,,,,,,,,,,,,,,0
E4,0,0,0,0,1,1,8058.99705,9497.005988,10132.53012,11629.28094,10146.79688,11511.98361,10279.33735,10202.98137,11570.1548,,,,,,,,,,,,,,,,,,,,,,,,0
E5,1,0,1,0,0,1,108948.3283,119607.1429,68766.19718,77740,79570.51282,66539.58944,81240.74074,69254.01929,44432.27666,,,,,,,,,,,,,,,,,,,,,,,,0
E6,1,0,0,1,0,1,87963.07692,61706.21469,63791.20879,47473.01587,42185.62874,45156.69516,52102.40964,39800.5698,39737.43017,,,,,,,,,,,,,,,,,,,,,,,,0
E7,1,0,0,0,1,1,0,0,0,1829.113924,1478.527607,1809.248555,2253.020528,1915.433526,1726.923077,,,,,,,,,,,,,,,,,,,,,,,,0
E8,0,0,1,1,0,1,545830.5085,532747.6636,0,424713.7809,470646.6667,0,496837.3702,468730.1587,0,,,,,,,,,,,,,,,,,,,,,,,,0
E9,0,0,1,0,1,1,44643.08682,43262.5,31868.65672,37280.7571,44662.37942,50344.15584,23730.71651,28475.66038,29123.37278,,,,,,,,,,,,,,,,,,,,,,,,0
E10,0,0,0,1,1,1,8105.953757,7552.762431,7453.709677,10839.80243,10664.98512,11809.6875,11226.33136,10430.33898,10569.74504,,,,,,,,,,,,,,,,,,,,,,,,0
E11,1,0,1,1,0,1,44247.05882,53949.0085,35594.02985,36760.38339,38611.6208,30194.96855,27524.79769,35191.6129,25302.14286,,,,,,,,,,,,,,,,,,,,,,,,0
E12,1,0,1,0,1,1,4789.171975,6018.62069,5679.22619,5249.13961,5718.680124,6674.278523,4584.210526,5738.074534,5388.245614,,,,,,,,,,,,,,,,,,,,,,,,0
